"","fold.change","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","parent","Genbank","name_wp","CDS","inference","gene_description","protein","trans_table","sig","fold_change_scaled"
"11",0.525501176,"cds1020",124.0177313,-0.928234101,0.264183024,-3.51360238,0.000442074,0.00443819,"ID=cds1020","Parent=gene1052","Dbxref=Genbank:WP_014064854.1","Name=WP_014064854.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005625841.1","product=carbon storage regulator","protein_id=WP_014064854.1","transl_table=11","Significant",1.9029453132946
"12",0.697074808,"cds1034",357.2556502,-0.520614606,0.180944144,-2.877211683,0.004012064,0.027191262,"ID=cds1034","Parent=gene1070","Dbxref=Genbank:WP_014064865.1","Name=WP_014064865.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438443.1","product=glutamate--tRNA ligase","protein_id=WP_014064865.1","transl_table=11","Significant",1.43456625963737
"13",5.111180885,"cds1035",28.34246911,2.353656649,0.548439365,4.291553088,1.77e-05,0.00027628,"ID=cds1035","Parent=gene1072","Dbxref=Genbank:WP_014064866.1","Name=WP_014064866.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005697098.1","product=monofunctional biosynthetic peptidoglycan transglycosylase","protein_id=WP_014064866.1","transl_table=11","Significant",5.111180885
"14",3.751923012,"cds1037",131.6260624,1.907630225,0.273744684,6.968647559,3.2e-12,2.57e-10,"ID=cds1037","Parent=gene1074","Dbxref=Genbank:WP_014064868.1","Name=WP_014064868.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005697105.1","product=septation protein A","protein_id=WP_014064868.1","transl_table=11","Significant",3.751923012
"15",1.947670258,"cds1053",290.1506942,0.961749448,0.192526143,4.995422605,5.87e-07,1.38e-05,"ID=cds1053","Parent=gene1090","Dbxref=Genbank:WP_014064884.1","Name=WP_014064884.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014064884.1","product=murein DD-endopeptidase MepM","protein_id=WP_014064884.1","transl_table=11","Significant",1.947670258
"16",5.29754471,"cds1055",11.43703794,2.405323859,0.857918767,2.803673204,0.005052409,0.031728295,"ID=cds1055","Parent=gene1092","Dbxref=Genbank:WP_014064886.1","Name=WP_014064886.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005696715.1","product=iron ABC transporter permease","protein_id=WP_014064886.1","transl_table=11","Significant",5.29754471
"17",0.682568778,"cds1057",277.001772,-0.55095367,0.204241296,-2.697562549,0.006984916,0.040528449,"ID=cds1057","Parent=gene1094","Dbxref=Genbank:WP_014064888.1","Name=WP_014064888.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014064888.1","product=ABC transporter","protein_id=WP_014064888.1","transl_table=11","Significant",1.46505382641454
"18",0.702636634,"cds1062",375.0749007,-0.509149298,0.186148581,-2.735176894,0.006234676,0.037310258,"ID=cds1062","Parent=gene1099","Dbxref=Genbank:WP_014064893.1","Name=WP_014064893.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438575.2","product=ribonuclease E","protein_id=WP_014064893.1","transl_table=11","Significant",1.42321073455444
"19",0.401351824,"cds1064",104.339283,-1.317060642,0.289486358,-4.549646667,5.37e-06,0.000106147,"ID=cds1064","Parent=gene1102","Dbxref=Genbank:WP_014064895.1","Name=WP_014064895.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438490.1","product=sodium:proton antiporter","protein_id=WP_014064895.1","transl_table=11","Significant",2.49157955739102
"20",0.619820026,"cds1070",137.2835597,-0.690078725,0.249476101,-2.766111555,0.005672912,0.0344895,"ID=cds1070","Parent=gene1108","Dbxref=Genbank:WP_014064901.1","Name=WP_014064901.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438483.1","product=aspartate--tRNA ligase","protein_id=WP_014064901.1","transl_table=11","Significant",1.61337155634271
"21",0.347189253,"cds1080",311.6516035,-1.526205803,0.228539092,-6.678095164,2.42e-11,1.61e-09,"ID=cds1080","Parent=gene1118","Dbxref=Genbank:WP_014064908.1","Name=WP_014064908.1","Note=part of the aerobic respiratory chain%3B catalyzes the ubiquinol to ubiquinone","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439232.1","product=cytochrome bd oxidase subunit I","protein_id=WP_014064908.1","Significant",2.88027348588466
"22",0.355501366,"cds1081",183.9804743,-1.492072991,0.247216831,-6.035483044,1.58e-09,7.56e-08,"ID=cds1081","Parent=gene1119","Dbxref=Genbank:WP_014064909.1","Name=WP_014064909.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439231.1","product=cytochrome d ubiquinol oxidase subunit II","protein_id=WP_014064909.1","transl_table=11","Significant",2.81292871319094
"23",0.376112865,"cds1082",74.85445147,-1.41076244,0.332281533,-4.245684151,2.18e-05,0.000326037,"ID=cds1082","Parent=gene1120","Dbxref=Genbank:WP_014064910.1","Name=WP_014064910.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014064910.1","product=cyd operon protein YbgE","protein_id=WP_014064910.1","transl_table=11","Significant",2.65877637554355
"24",1.689766585,"cds1083",134.6533547,0.756823974,0.257241814,2.942072146,0.00326024,0.022807731,"ID=cds1083","Parent=gene1121","Dbxref=Genbank:WP_041918318.1","Name=WP_041918318.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438547.1","product=tol-pal system-associated acyl-CoA thioesterase","protein_id=WP_041918318.1","transl_table=11","Significant",1.689766585
"25",0.583327183,"cds1088",807.397349,-0.777622789,0.153348163,-5.070962519,3.96e-07,1.02e-05,"ID=cds1088","Parent=gene1126","Dbxref=Genbank:WP_014064916.1","Name=WP_014064916.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438542.1","product=peptidoglycan-associated lipoprotein Pal","protein_id=WP_014064916.1","transl_table=11","Significant",1.71430378892526
"26",0.555573202,"cds1091",266.1979829,-0.847951082,0.205983831,-4.11659049,3.85e-05,0.000523906,"ID=cds1091","Parent=gene1132","Dbxref=Genbank:WP_014064919.1","Name=WP_014064919.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_018355286.1","product=IscS subfamily cysteine desulfurase","protein_id=WP_014064919.1","transl_table=11","Significant",1.79994282733601
"27",0.517535065,"cds1092",76.46032889,-0.95027148,0.316197553,-3.005309411,0.002653108,0.019097372,"ID=cds1092","Parent=gene1133","Dbxref=Genbank:WP_005696665.1","Name=WP_005696665.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005626962.1","product=Fe-S cluster assembly scaffold IscU","protein_id=WP_005696665.1","transl_table=11","Significant",1.93223622441892
"28",0.347457064,"cds1102",201.1936499,-1.525093383,0.238858822,-6.384915437,1.71e-10,9.69e-09,"ID=cds1102","Parent=gene1143","Dbxref=Genbank:WP_014064928.1","Name=WP_014064928.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438984.1","product=galactose/methyl galactoside ABC transporter permease MglC","protein_id=WP_014064928.1","transl_table=11","Significant",2.87805344489989
"29",0.420483294,"cds1103",397.2964943,-1.249879613,0.199453963,-6.266506778,3.69e-10,2.01e-08,"ID=cds1103","Parent=gene1144","Dbxref=Genbank:WP_014064929.1","Name=WP_014064929.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_011199821.1","product=galactose/methyl galactoside ABC transporter ATP-binding protein MglA","protein_id=WP_014064929.1","transl_table=11","Significant",2.37821576806807
"30",0.28158326,"cds1104",2215.996093,-1.828366525,0.154084545,-11.86599554,1.78e-32,1.36e-29,"ID=cds1104","Parent=gene1145","Dbxref=Genbank:WP_014064930.1","Name=WP_014064930.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438982.2","product=galactose/glucose ABC transporter substrate-binding protein MglB","protein_id=WP_014064930.1","transl_table=11","Significant",3.5513474771192
"31",0.333744608,"cds1105",45.94641284,-1.583183566,0.413929675,-3.824764596,0.000130897,0.001560539,"ID=cds1105","Parent=gene1146","Dbxref=Genbank:WP_014064931.1","Name=WP_014064931.1","Note=controls transcription of galETKM","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014064931.1","product=LacI family DNA-binding transcriptional regulator","protein_id=WP_014064931.1","Significant",2.9963030893371
"32",0.428587627,"cds1106",276.8990932,-1.222337893,0.217370167,-5.623301057,1.87e-08,6.81e-07,"ID=cds1106","Parent=gene1147","Dbxref=Genbank:WP_014064932.1","Name=WP_014064932.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005633419.1","product=galactose-1-phosphate uridylyltransferase","protein_id=WP_014064932.1","transl_table=11","Significant",2.33324514522208
"33",0.397924143,"cds1107",272.8906807,-1.329434661,0.236109897,-5.630575758,1.8e-08,6.68e-07,"ID=cds1107","Parent=gene1148","Dbxref=Genbank:WP_014064933.1","Name=WP_014064933.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005546593.1","product=galactokinase","protein_id=WP_014064933.1","transl_table=11","Significant",2.51304178846972
"34",0.290839355,"cds1108",146.083971,-1.781705595,0.259410283,-6.868292088,6.5e-12,4.96e-10,"ID=cds1108","Parent=gene1149","Dbxref=Genbank:WP_014064934.1","Name=WP_014064934.1","Note=mutarotase%3B catalyzes the conversion of beta-galactose to the alpha-anomer%3B links the metabolism of lactose and galactose","gbkey=CDS","gene=galM","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438978.1","product=galactose-1-epimerase","Significant",3.43832422541303
"35",2.114289591,"cds1111",55.08234928,1.080172994,0.37891169,2.850724911,0.004361969,0.028679073,"ID=cds1111","Parent=gene1152","Dbxref=Genbank:WP_014064938.1","Name=WP_014064938.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439244.1","product=phospholipid ABC transporter ATP-binding protein MlaF","protein_id=WP_014064938.1","transl_table=11","Significant",2.114289591
"36",2.177362696,"cds1117",226.4431568,1.122581746,0.212668115,5.278561591,1.3e-07,3.97e-06,"ID=cds1117","Parent=gene1158","Dbxref=Genbank:WP_014064943.1","Name=WP_014064943.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005696637.1","product=UDP-N-acetylglucosamine 1-carboxyvinyltransferase","protein_id=WP_014064943.1","transl_table=11","Significant",2.177362696
"37",1.896612081,"cds12",92.18251273,0.92342463,0.300165104,3.076389017,0.002095243,0.015596783,"ID=cds12","Parent=gene12","Dbxref=Genbank:WP_005698426.1","Name=WP_005698426.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438280.1","product=signal recognition particle protein","protein_id=WP_005698426.1","transl_table=11","Significant",1.896612081
"38",0.522078341,"cds1207",168.2305859,-0.937661788,0.231806409,-4.045020986,5.23e-05,0.000670907,"ID=cds1207","Parent=gene1251","Dbxref=Genbank:WP_014065005.1","Name=WP_014065005.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438257.1","product=thioredoxin","protein_id=WP_014065005.1","transl_table=11","Significant",1.91542134861327
"39",0.20598906,"cds1221",21.39919297,-2.279360373,0.638847916,-3.567923316,0.000359822,0.003839776,"ID=cds1221","Parent=gene1265","Dbxref=Genbank:WP_014065018.1","Name=WP_014065018.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005634665.1","product=NAD-dependent deacetylase","protein_id=WP_014065018.1","transl_table=11","Significant",4.85462674571164
"40",1.83026663,"cds1237",125.5205679,0.872053833,0.256679119,3.397447509,0.000680176,0.006178269,"ID=cds1237","Parent=gene1281","Dbxref=Genbank:WP_014065033.1","Name=WP_014065033.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_018650902.1","product=UDP-N-acetylmuramate--L-alanine ligase","protein_id=WP_014065033.1","transl_table=11","Significant",1.83026663
"41",2.163299553,"cds1238",245.742761,1.11323345,0.216278108,5.147231301,2.64e-07,7.47e-06,"ID=cds1238","Parent=gene1282","Dbxref=Genbank:WP_014065034.1","Name=WP_014065034.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005697694.1","product=D-alanine--D-alanine ligase","protein_id=WP_014065034.1","transl_table=11","Significant",2.163299553
"42",1.885618438,"cds1239",147.2059952,0.91503777,0.261625457,3.497510456,0.000469622,0.004593869,"ID=cds1239","Parent=gene1283","Dbxref=Genbank:WP_014065035.1","Name=WP_014065035.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005697741.1","product=cell division protein FtsQ","protein_id=WP_014065035.1","transl_table=11","Significant",1.885618438
"43",2.252296555,"cds124",144.1218525,1.171396796,0.282652763,4.144296289,3.41e-05,0.000477213,"ID=cds124","Parent=gene124","Dbxref=Genbank:WP_014064075.1","Name=WP_014064075.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005699977.1","product=septal ring lytic transglycosylase RlpA family protein","protein_id=WP_014064075.1","transl_table=11","Significant",2.252296555
"44",1.955723587,"cds1240",229.7588152,0.96770248,0.21573928,4.485518255,7.27e-06,0.000136634,"ID=cds1240","Parent=gene1284","Dbxref=Genbank:WP_014065036.1","Name=WP_014065036.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439300.1","product=cell division protein FtsA","protein_id=WP_014065036.1","transl_table=11","Significant",1.955723587
"45",0.521139434,"cds1254",69.93786758,-0.940258668,0.339767153,-2.767361883,0.005651199,0.0344895,"ID=cds1254","Parent=gene1298","Dbxref=Genbank:WP_005699852.1","Name=WP_005699852.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439744.2","product=DoxX family protein","protein_id=WP_005699852.1","transl_table=11","Significant",1.91887225329412
"46",0.592156696,"cds1262",228.8099894,-0.755949103,0.208293498,-3.629249648,0.000284246,0.003098284,"ID=cds1262","Parent=gene1307","Dbxref=Genbank:WP_005699879.1","Name=WP_005699879.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439316.1","product=thioredoxin-disulfide reductase","protein_id=WP_005699879.1","transl_table=11","Significant",1.68874219738621
"47",1.535418808,"cds1269",354.9207343,0.618632225,0.183299552,3.374979466,0.000738212,0.006587787,"ID=cds1269","Parent=gene1314","Dbxref=Genbank:WP_014065055.1","Name=WP_014065055.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438248.1","product=anaerobic ribonucleoside-triphosphate reductase","protein_id=WP_014065055.1","transl_table=11","Significant",1.535418808
"48",2.176235244,"cds127",81.56603574,1.121834515,0.322649198,3.476948094,0.000507156,0.004867422,"ID=cds127","Parent=gene127","Dbxref=Genbank:WP_014064078.1","Name=WP_014064078.1","Note=lipoyl/octanoyltransferase%3B catalyzes the transfer of the lipoyl/octanoyl moiety of lipoyl/octanoyl-ACP onto lipoate-dependent enzymes like pyruvate dehydrogenase and the glycine cleavage system H protein","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438200.1","product=lipoyl(octanoyl) transferase LipB","protein_id=WP_014064078.1","Significant",2.176235244
"49",1.592236701,"cds128",210.8390424,0.671054822,0.215889273,3.1083287,0.001881487,0.014427884,"ID=cds128","Parent=gene128","Dbxref=Genbank:WP_014064079.1","Name=WP_014064079.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438199.1","product=lipoyl synthase","protein_id=WP_014064079.1","transl_table=11","Significant",1.592236701
"50",2.82306631,"cds131",139.1929851,1.497263016,0.259798078,5.763179735,8.25e-09,3.4e-07,"ID=cds131","Parent=gene131","Dbxref=Genbank:WP_014064081.1","Name=WP_014064081.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005695481.1","product=AmpG family muropeptide MFS transporter","protein_id=WP_014064081.1","transl_table=11","Significant",2.82306631
"51",0.698841931,"cds1312",452.7621248,-0.516961922,0.172949178,-2.989097299,0.00279803,0.019952308,"ID=cds1312","Parent=gene1363","Dbxref=Genbank:WP_014065095.1","Name=WP_014065095.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438291.1","product=zinc ABC transporter substrate-binding protein","protein_id=WP_014065095.1","transl_table=11","Significant",1.43093875115516
"52",2.461678253,"cds1321",53.96330125,1.299642211,0.395118278,3.289248516,0.001004553,0.008422789,"ID=cds1321","Parent=gene1372","Dbxref=Genbank:WP_014065105.1","Name=WP_014065105.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_014065105.1","product=2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase","protein_id=WP_014065105.1","transl_table=11","Significant",2.461678253
"53",2.025711613,"cds1322",168.4159877,1.018428802,0.232624008,4.378003851,1.2e-05,0.000200847,"ID=cds1322","Parent=gene1373","Dbxref=Genbank:WP_080557638.1","Name=WP_080557638.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438236.1","product=polynucleotide adenylyltransferase PcnB","protein_id=WP_080557638.1","transl_table=11","Significant",2.025711613
"54",1.578109149,"cds1323",228.6827706,0.658196992,0.218895154,3.006905267,0.00263922,0.019087439,"ID=cds1323","Parent=gene1374","Dbxref=Genbank:WP_014065107.1","Name=WP_014065107.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_438235.1","product=RNA polymerase-binding protein DksA","protein_id=WP_014065107.1","transl_table=11","Significant",1.578109149
"55",0.596597182,"cds1351",268.2244947,-0.745170933,0.203044656,-3.669985456,0.000242564,0.002741875,"ID=cds1351","Parent=gene1402","Dbxref=Genbank:WP_041918253.1","Name=WP_041918253.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_018345920.1","product=formate dehydrogenase-N subunit alpha","protein_id=WP_041918253.1","transl_table=11","Significant",1.67617285191937
"56",0.582524895,"cds1386",708.6580944,-0.779608387,0.155982356,-4.998054961,5.79e-07,1.38e-05,"ID=cds1386","Parent=gene1442","Dbxref=Genbank:WP_014065165.1","Name=WP_014065165.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439366.1","product=malate dehydrogenase","protein_id=WP_014065165.1","transl_table=11","Significant",1.71666483026446
"57",1.489260283,"cds1397",260.3759732,0.57459592,0.199787335,2.876037771,0.004027015,0.027191262,"ID=cds1397","Parent=gene1453","Dbxref=Genbank:WP_014065175.1","Name=WP_014065175.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005695828.1","product=DNA translocase FtsK","protein_id=WP_014065175.1","transl_table=11","Significant",1.489260283
"58",0.68174875,"cds1400",362.0635062,-0.552687946,0.178774127,-3.09154325,0.00199119,0.014968254,"ID=cds1400","Parent=gene1456","Dbxref=Genbank:WP_080557639.1","Name=WP_080557639.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439495.1","product=spermidine/putrescine ABC transporter substrate-binding protein","protein_id=WP_080557639.1","transl_table=11","Significant",1.46681603743315
"59",2.61472702,"cds1405",89.32291404,1.386660336,0.30302293,4.576090446,4.74e-06,9.64e-05,"ID=cds1405","Parent=gene1461","Dbxref=Genbank:WP_014065182.1","Name=WP_014065182.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439805.1","product=MBL fold metallo-hydrolase","protein_id=WP_014065182.1","transl_table=11","Significant",2.61472702
"60",5.845809712,"cds1414",10.5181714,2.547402868,0.913243728,2.78940089,0.005280566,0.032756679,"ID=cds1414","Parent=gene1471","Dbxref=Genbank:WP_041918257.1","Name=WP_041918257.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_009500619.1","product=DNA polymerase IV","protein_id=WP_041918257.1","transl_table=11","Significant",5.845809712
"61",1.795599626,"cds1437",184.7508942,0.844465701,0.255477881,3.305435673,0.000948289,0.007994964,"ID=cds1437","Parent=gene1495","Dbxref=Genbank:WP_014065212.1","Name=WP_014065212.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005698475.1","product=sel1 repeat family protein","protein_id=WP_014065212.1","transl_table=11","Significant",1.795599626
"62",3.686667124,"cds1438",80.64963755,1.882317159,0.33250607,5.661000896,1.5e-08,5.74e-07,"ID=cds1438","Parent=gene1496","Dbxref=Genbank:WP_014065213.1","Name=WP_014065213.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_011608820.1","product=bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC","protein_id=WP_014065213.1","transl_table=11","Significant",3.686667124
"63",0.645877102,"cds1439",794.2760765,-0.63066842,0.155167996,-4.064423316,4.82e-05,0.000628026,"ID=cds1439","Parent=gene1497","Dbxref=Genbank:WP_014065214.1","Name=WP_014065214.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439682.1","product=beta-ketoacyl-[acyl-carrier-protein] synthase I","protein_id=WP_014065214.1","transl_table=11","Significant",1.54828216839308
"64",0.574850005,"cds1461",1510.201189,-0.79874253,0.138336636,-5.773904549,7.75e-09,3.28e-07,"ID=cds1461","Parent=gene1519","Dbxref=Genbank:WP_005695896.1","Name=WP_005695896.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005547254.1","product=superoxide dismutase","protein_id=WP_005695896.1","transl_table=11","Significant",1.73958422423602
"65",0.653439493,"cds1464",431.3010754,-0.613874443,0.176036071,-3.487208265,0.000488091,0.004734727,"ID=cds1464","Parent=gene1522","Dbxref=Genbank:WP_014065237.1","Name=WP_014065237.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439207.1","product=transglutaminase family protein","protein_id=WP_014065237.1","transl_table=11","Significant",1.53036357721341
"66",0.459984197,"cds1473",1113.978848,-1.120343797,0.157058517,-7.133289031,9.8e-13,8.31e-11,"ID=cds1473","Parent=gene1531","Dbxref=Genbank:WP_014065246.1","Name=WP_014065246.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439376.1","product=30S ribosomal protein S1","protein_id=WP_014065246.1","transl_table=11","Significant",2.17398772940889
"67",0.291932173,"cds148",3776.5489,-1.77629488,0.161421791,-11.00405877,3.65e-28,1.39e-25,"ID=cds148","Parent=gene148","Dbxref=Genbank:WP_014064092.1","Name=WP_014064092.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:NP_439019.1","product=ATP-dependent chaperone ClpB","protein_id=WP_014064092.1","transl_table=11","Significant",3.42545321306535
"68",0.506450553,"cds149",71.72722596,-0.981506676,0.342556013,-2.865244336,0.004166876,0.027767042,"ID=cds149","Parent=gene149","Dbxref=Genbank:WP_014064093.1","Name=WP_014064093.1","gbkey=CDS","inference=COORDINATES: similar to AA sequence:RefSeq:WP_005697907.1","product=5-formyltetrahydrofolate cyclo-ligase","protein_id=WP_014064093.1","transl_table=11","Significant",1.97452642528756
